city,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
杭州,2021-03-01,13°,5°,小雨,西北风,3级,28,优,
杭州,2021-03-02,12°,4°,阴~多云,东北风,3级,37,优,
杭州,2021-03-03,10°,7°,阴~小雨,东南风,2级,49,优,
杭州,2021-03-04,17°,7°,阴~多云,西风,微,37,优,
杭州,2021-03-05,13°,8°,小雨,东风,2级,68,良,
杭州,2021-03-06,10°,6°,小雨,东北风,3级,29,优,
杭州,2021-03-07,6°,5°,小雨,北风,2级,28,优,
杭州,2021-03-08,11°,8°,小雨,东北风,2级,30,优,
杭州,2021-03-09,12°,8°,阴,东北风,2级,40,优,
杭州,2021-03-10,15°,9°,阴~小雨,东风,微,44,优,
杭州,2021-03-11,12°,10°,小雨,东南风,微,46,优,
杭州,2021-03-12,16°,7°,多云~阴,北风,微,28,优,
杭州,2021-03-13,16°,8°,阴,东北风,2级,57,良,
杭州,2021-03-14,19°,10°,多云,东风,2级,72,良,
杭州,2021-03-15,27°,15°,多云~中雨,西南风,2级,53,良,
杭州,2021-03-16,15°,9°,中雨~小雨,东北风,2级,41,优,
杭州,2021-03-17,10°,8°,小雨~阴,东北风,微,39,优,
杭州,2021-03-18,13°,10°,阴~小雨,东北风,2级,54,良,
杭州,2021-03-19,12°,11°,大雨~小雨,东北风,微,42,优,
杭州,2021-03-20,12°,9°,阴~小雨,西北风,微,27,优,
杭州,2021-03-21,14°,5°,阴~多云,西北风,3级,64,良,
杭州,2021-03-22,17°,5°,多云~晴,西北风,2级,52,良,
杭州,2021-03-23,20°,9°,多云~小雨,东南风,2级,66,良,
杭州,2021-03-24,18°,8°,多云~晴,西南风,1级,49,优,
杭州,2021-03-25,22°,9°,晴,东风,2级,61,良,
杭州,2021-03-26,27°,15°,晴~小雨,东南风,2级,63,良,
杭州,2021-03-27,26°,14°,小雨,西风,2级,34,优,
杭州,2021-03-28,26°,14°,晴,东风,1级,50,优,
杭州,2021-03-29,28°,16°,多云~小雨,东风,2级,72,良,
杭州,2021-03-30,17°,13°,小雨,东北风,2级,103,轻度,
杭州,2021-03-31,20°,16°,小雨,东北风,2级,143,轻度,
宁波,2021-03-01,15°,5°,小雨,西北风,3级,38,优,
宁波,2021-03-02,10°,3°,阴,西北风,3级,22,优,
宁波,2021-03-03,11°,8°,阴~小雨,东南风,2级,36,优,
宁波,2021-03-04,15°,5°,小雨~晴,西北风,2级,40,优,
宁波,2021-03-05,13°,9°,小雨~中雨,东南风,微,52,良,
宁波,2021-03-06,11°,8°,小雨,东北风,3级,26,优,
宁波,2021-03-07,9°,8°,小雨~阴,西北风,2级,20,优,
宁波,2021-03-08,14°,8°,阴~小雨,东北风,2级,34,优,
宁波,2021-03-09,14°,7°,阴,东北风,2级,36,优,
宁波,2021-03-10,17°,9°,多云~小雨,东北风,2级,44,优,
宁波,2021-03-11,13°,10°,中雨~阴,东南风,2级,45,优,
宁波,2021-03-12,14°,6°,阴,西北风,3级,35,优,
宁波,2021-03-13,17°,7°,阴,东北风,微,49,优,
宁波,2021-03-14,20°,10°,多云,东南风,2级,53,良,
宁波,2021-03-15,26°,14°,多云~小雨,南风,3级,31,优,
宁波,2021-03-16,17°,9°,小雨,北风,2级,35,优,
宁波,2021-03-17,10°,8°,中雨~多云,东北风,2级,51,良,
宁波,2021-03-18,15°,11°,小雨,东北风,微,41,优,
宁波,2021-03-19,15°,11°,大雨~小雨,东北风,1级,48,优,
宁波,2021-03-20,13°,9°,小雨,西北风,3级,28,优,
宁波,2021-03-21,14°,4°,阴,西北风,3级,56,良,
宁波,2021-03-22,15°,3°,多云~晴,西北风,2级,43,优,
宁波,2021-03-23,18°,9°,阴~小雨,东南风,3级,60,良,
宁波,2021-03-24,15°,6°,中雨~晴,东北风,微,34,优,
宁波,2021-03-25,21°,6°,晴,东北风,2级,52,良,
宁波,2021-03-26,21°,17°,多云,东南风,微,38,优,
宁波,2021-03-27,26°,16°,小雨,东南风,2级,37,优,
宁波,2021-03-28,24°,12°,阴~晴,北风,2级,46,优,
宁波,2021-03-29,26°,14°,阴~小雨,东南风,2级,44,优,
宁波,2021-03-30,18°,14°,阴~小雨,东北风,2级,79,良,
宁波,2021-03-31,21°,17°,中雨~小雨,东南风,2级,102,轻度,
温州,2021-03-01,20°,8°,阴~小雨,东南风,1级,50,优,
温州,2021-03-02,13°,6°,阴~多云,北风,2级,23,优,
温州,2021-03-03,14°,10°,阴~小雨,东北风,1级,41,优,
温州,2021-03-04,20°,8°,阴~多云,西北风,1级,32,优,
温州,2021-03-05,13°,10°,中雨~小雨,东风,微,48,优,
温州,2021-03-06,13°,10°,小雨,东北风,微,28,优,
温州,2021-03-07,14°,8°,阴~多云,北风,微,30,优,
温州,2021-03-08,16°,8°,阴,东风,2级,41,优,
温州,2021-03-09,19°,10°,阴,东风,微,48,优,
温州,2021-03-10,17°,10°,阴~小雨,东风,2级,52,良,
温州,2021-03-11,16°,12°,小雨~多云,西北风,1级,66,良,
温州,2021-03-12,23°,11°,阴~多云,东风,1级,62,良,
温州,2021-03-13,16°,10°,阴~小雨,东南风,2级,56,良,
温州,2021-03-14,21°,9°,多云~晴,东南风,微,62,良,
温州,2021-03-15,25°,13°,晴,东南风,微,55,良,
温州,2021-03-16,25°,13°,多云~小雨,东南风,2级,64,良,
温州,2021-03-17,16°,12°,阴,东南风,2级,48,优,
温州,2021-03-18,20°,14°,多云~小雨,东南风,微,72,良,
温州,2021-03-19,23°,15°,阴~小雨,东南风,微,68,良,
温州,2021-03-20,22°,11°,小雨,东南风,微,41,优,
温州,2021-03-21,13°,8°,阴,西北风,2级,46,优,
温州,2021-03-22,18°,5°,阴~晴,东北风,2级,77,良,
温州,2021-03-23,17°,9°,多云~小雨,东南风,微,63,良,
温州,2021-03-24,20°,7°,多云~晴,西北风,微,43,优,
温州,2021-03-25,23°,9°,晴~多云,东风,2级,50,优,
温州,2021-03-26,20°,14°,阴~小雨,东风,1级,54,良,
温州,2021-03-27,24°,15°,阴~小雨,东南风,1级,71,良,
温州,2021-03-28,22°,14°,小雨~多云,东南风,微,60,良,
温州,2021-03-29,25°,17°,多云~小雨,东南风,微,57,良,
温州,2021-03-30,24°,17°,小雨,东北风,1级,41,优,
温州,2021-03-31,18°,16°,中雨~小雨,南风,1级,40,优,
嘉兴,2021-03-01,13°,3°,小雨,西北风,3级,30,优,
嘉兴,2021-03-02,10°,3°,阴,北风,3级,49,优,
嘉兴,2021-03-03,10°,8°,阴~小雨,东南风,3级,49,优,
嘉兴,2021-03-04,15°,4°,阴~多云,西北风,2级,52,良,
嘉兴,2021-03-05,11°,9°,小雨,东南风,3级,65,良,
嘉兴,2021-03-06,11°,6°,小雨,东北风,3级,34,优,
嘉兴,2021-03-07,8°,7°,中雨~阴,西北风,微,36,优,
嘉兴,2021-03-08,12°,8°,雾~小雨,东风,3级,43,优,
