city,ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
杭州,2021-01-01,7°,-2°,晴,西南风,1级,62,良,
杭州,2021-01-02,9°,0°,晴~多云,东风,2级,78,良,
杭州,2021-01-03,9°,4°,多云,东风,2级,83,良,
杭州,2021-01-04,12°,6°,多云~阴,东北风,2级,66,良,
杭州,2021-01-05,8°,1°,小雨~阴,东北风,3级,63,良,
杭州,2021-01-06,5°,-3°,阴,北风,2级,56,良,
杭州,2021-01-07,0°,-5°,阴,西北风,4级,71,良,
杭州,2021-01-08,1°,-6°,多云~晴,西北风,3级,49,优,
杭州,2021-01-09,5°,-2°,晴,西北风,2级,55,良,
杭州,2021-01-10,6°,-2°,多云,西北风,2级,68,良,
杭州,2021-01-11,8°,-1°,多云~晴,西北风,2级,73,良,
杭州,2021-01-12,10°,1°,晴,西南风,3级,69,良,
杭州,2021-01-13,17°,4°,晴,西南风,2级,68,良,
杭州,2021-01-14,19°,5°,阴~晴,南风,2级,86,良,
杭州,2021-01-15,20°,3°,晴~多云,西北风,2级,93,良,
杭州,2021-01-16,7°,-1°,阴~多云,东北风,3级,105,轻度,
杭州,2021-01-17,7°,-1°,多云~晴,北风,2级,76,良,
杭州,2021-01-18,12°,1°,晴,西南风,微,87,良,
杭州,2021-01-19,13°,4°,晴,东南风,2级,101,轻度,
杭州,2021-01-20,18°,9°,晴~多云,东南风,2级,72,良,
杭州,2021-01-21,21°,10°,多云~小雨,北风,微,59,良,
杭州,2021-01-22,11°,7°,小雨,北风,2级,72,良,
杭州,2021-01-23,8°,5°,小雨~阴,北风,2级,37,优,
杭州,2021-01-24,9°,6°,阴,东北风,2级,87,良,
杭州,2021-01-25,13°,9°,阴~小雨,西北风,1级,76,良,
杭州,2021-01-26,11°,7°,阴,西北风,2级,35,优,
杭州,2021-01-27,8°,4°,小雨,东北风,2级,42,优,
杭州,2021-01-28,13°,-1°,多云~晴,西北风,3级,52,良,
杭州,2021-01-29,11°,1°,晴,东北风,2级,73,良,
杭州,2021-01-30,15°,8°,多云,东南风,2级,84,良,
